                   MONTHLY CLIMATOLOGICAL SUMMARY for Jan 2022


NAME: Lea Hill, Auburn, WA                  
ELEV: 416 feet    LAT: 47-19.27 N    LONG: 122-11.06 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   26.4   34.6  13:54   17.0  02:15   38.6    0.0   0.01    1.1    4.4  12:29    219
 02   34.6   45.4  18:53   27.8  00:23   30.4    0.0   2.38    1.9    6.5  03:15    221
 03   35.2   38.8  13:22   32.0  21:24   29.8    0.0   2.03    2.6    9.8  04:18    149
 04   36.7   39.5  13:32   33.4  02:10   28.3    0.0   0.37    1.6    4.9  06:18    165
 05   35.8   41.4  13:14   34.3  21:12   29.2    0.0   0.34    1.1    3.5  02:46    164
 06   44.9   50.4  15:21   34.5  00:58   20.1    0.0   2.40    0.8   10.3  23:15    230
 07   42.0   47.7  06:28   35.4  23:44   23.0    0.0   0.44    1.8   14.8  11:49    246
 08   38.6   46.9  13:12   32.5  23:04   26.4    0.0   0.00    0.3    8.1  13:46    260
 09   36.7   48.6  15:04   28.6  07:42   28.3    0.0   0.00    0.1    5.8  13:04      7
 10   40.9   47.7  14:36   31.5  03:54   24.1    0.0   0.21    0.2    5.8  08:59    219
 11   48.7   53.6  18:24   44.4  04:17   16.3    0.0   1.40    0.4   12.5  17:24    231
 12   51.2   57.0  13:58   41.9  23:30   13.8    0.0   0.31    0.1    4.5  02:04    236
 13   46.4   54.0  13:12   41.0  23:02   18.6    0.0   0.37    0.2    4.5  02:03    233
 14   41.9   49.1  14:45   36.5  23:40   23.1    0.0   0.00    0.1    4.5  14:00    226
 15   39.7   46.0  13:01   34.9  08:17   25.3    0.0   0.00    0.2    5.8  13:21     32
 16   39.1   41.9  15:05   37.0  08:05   25.9    0.0   0.00    0.1    4.5  12:55    229
 17   42.1   48.9  15:39   36.9  08:51   22.9    0.0   0.06    0.3    5.8  20:37    241
 18   45.4   47.8  13:24   43.9  01:25   19.6    0.0   0.08    0.2    5.8  04:31    253
 19   44.9   49.8  15:46   39.9  05:16   20.1    0.0   0.01    0.1    2.2  03:34    281
 20   48.4   52.5  05:37   40.6  23:59   16.6    0.0   0.55    1.2   15.9  12:44    240
 21   40.2   46.4  11:43   32.9  23:13   24.8    0.0   0.00    0.1    4.5  10:00    199
 22   32.8   35.2  15:27   30.0  08:54   32.2    0.0   0.00    0.5    5.8  16:05    232
 23   32.8   36.3  14:44   28.6  07:51   32.2    0.0   0.00    0.3    3.4  00:10    246
 24   34.4   37.0  13:05   31.5  07:32   30.6    0.0   0.00    0.2    4.5  15:25    169
 25   33.4   35.8  14:35   30.2  07:47   31.6    0.0   0.00    0.2    3.4  10:45    236
 26   32.6   35.6  14:40   30.2  22:43   32.4    0.0   0.00    0.3    5.8  02:20    191
 27   33.0   42.1  15:19   29.3  08:16   32.0    0.0   0.00    0.1    3.4  06:09    315
 28   37.1   51.4  13:53   25.9  06:34   27.9    0.0   0.00    0.2    3.4  11:32    248
 29   39.3   53.6  13:21   27.7  07:19   25.7    0.0   0.00    0.2    3.4  10:16    239
 30   43.4   55.2  13:21   37.4  00:00   21.6    0.0   0.18    1.4   14.8  17:20    243
 31   39.6   46.6  13:50   35.8  22:17   25.4    0.0   0.00    0.7   10.3  00:13    251
---------------------------------------------------------------------------------------
      39.3   57.0     12   17.0     01  796.9    0.0  11.14    0.6   15.9     20    216
    
