                   MONTHLY CLIMATOLOGICAL SUMMARY for Feb 2022


NAME: Lea Hill, Auburn, WA                  
ELEV: 416 feet    LAT: 47-19.27 N    LONG: 122-11.06 W


                   TEMPERATURE (°F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   38.0   44.4  13:15   32.4  22:30   27.0    0.0   0.00    0.2    5.8  02:14    249
 02   36.9   42.3  17:52   30.9  03:12   28.1    0.0   0.00    0.3    6.9  21:21    245
 03   43.7   48.9  15:23   41.0  01:12   21.3    0.0   0.15    0.3    5.8  04:41    236
 04   43.4   49.3  12:44   38.1  02:58   21.6    0.0   0.01    1.1   13.6  19:38    246
 05   42.5   50.4  13:56   34.5  23:45   22.5    0.0   0.05    0.5    8.1  14:51    201
 06   37.1   47.3  14:12   30.4  04:10   27.9    0.0   0.00    0.1    4.5  10:42    262
 07   45.2   54.5  11:40   36.0  00:43   19.8    0.0   0.00    0.9   12.5  08:20    242
 08   43.7   49.8  14:09   38.3  07:52   21.3    0.0   0.00    0.1    4.5  13:49    259
 09   45.5   56.3  13:54   37.6  05:53   19.5    0.0   0.00    0.2    5.8  13:15     24
 10   43.5   49.5  13:04   38.5  02:11   21.5    0.0   0.00    0.4    6.9  16:00    109
 11   43.7   49.3  13:05   34.5  23:21   21.3    0.0   0.00    0.6    8.1  13:51     99
 12   39.1   55.6  14:05   30.6  02:07   25.9    0.0   0.00    0.3    8.1  15:46    338
 13   43.3   61.0  14:19   28.0  07:16   21.7    0.0   0.00    0.2    3.4  11:49    265
 14   43.6   46.9  16:41   39.6  20:38   21.4    0.0   0.22    0.4    6.9  10:53    231
 15   43.1   47.1  12:53   40.1  08:34   21.9    0.0   0.00    0.3    4.5  12:42    236
 16   43.4   51.8  14:29   35.2  23:49   21.6    0.0   0.00    0.3    8.1  14:50      1
 17   42.6   48.4  14:28   34.3  01:55   22.4    0.0   0.00    0.3    8.1  11:23    252
 18   44.4   50.9  12:07   39.9  19:48   20.6    0.0   0.00    0.2    5.8  13:30     62
 19   43.1   47.3  14:16   40.1  06:51   21.9    0.0   0.00    1.4   14.8  18:00    247
 20   40.1   48.9  13:53   34.7  22:38   24.9    0.0   0.87    0.7   11.4  00:07    239
 21   36.1   41.4  14:04   30.0  23:55   28.9    0.0   0.03    0.9   12.5  15:20    125
 22   30.9   36.3  12:24   26.6  23:37   34.1    0.0   0.00    2.2   12.5  09:09    178
 23   29.2   37.2  13:46   19.4  06:57   35.8    0.0   0.00    0.5    6.9  12:08    226
 24   31.9   42.4  14:22   25.0  07:40   33.1    0.0   0.01    0.3    5.8  12:21    193
 25   33.8   47.3  14:05   22.8  06:50   31.2    0.0   0.00    0.4    9.2  11:59      6
 26   38.8   50.9  13:35   29.5  06:13   26.2    0.0   0.17    0.5    5.8  10:44    228
 27   45.7   49.6  05:31   40.3  00:01   19.3    0.0   1.27    0.7   10.3  06:13    227
 28   50.8   54.5  15:58   46.8  06:44   14.2    0.0   3.44    0.6    8.1  15:56    235
---------------------------------------------------------------------------------------
      40.8   61.0     13   19.4     23  677.0    0.0   6.22    0.5   14.8     19    222
    
