                   MONTHLY CLIMATOLOGICAL SUMMARY for May 2022


NAME: Lea Hill, Auburn, WA                  
ELEV: 416 feet    LAT: 47-19.27 N    LONG: 122-11.06 W


                   TEMPERATURE (°F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   53.3   62.8  15:16   43.5  01:55   11.7    0.0   0.00    0.3    4.5  11:12    182
 02   50.0   54.1  15:17   46.6  05:50   15.0    0.0   0.54    0.2    4.5  14:26    132
 03   50.1   54.9  13:58   46.6  04:42   14.9    0.0   0.00    0.4    6.9  12:45    168
 04   53.9   68.2  16:39   43.5  04:19   11.1    0.0   0.00    0.5    5.8  10:18    169
 05   48.2   52.5  14:31   44.6  07:14   16.8    0.0   0.57    0.5   11.4  21:03    169
 06   47.6   55.6  16:29   43.3  03:09   17.4    0.0   0.92    0.2    6.9  00:13    168
 07   48.0   55.4  15:36   41.5  23:40   17.0    0.0   0.64    1.1   13.6  11:45    168
 08   46.2   55.8  15:07   40.3  03:29   18.8    0.0   0.08    0.9   14.8  16:56    225
 09   46.3   56.7  13:32   40.1  05:09   18.7    0.0   0.05    0.5   10.3  15:01    183
 10   49.0   60.6  16:29   39.0  04:32   16.0    0.0   0.00    0.6    9.2  17:12    183
 11   49.7   61.5  14:47   39.9  05:53   15.3    0.0   0.07    0.7    9.2  12:22    178
 12   46.6   51.8  15:41   40.3  23:57   18.4    0.0   0.23    0.4   11.4  16:35    164
 13   48.5   58.8  15:30   39.2  03:24   16.5    0.0   0.00    0.5    6.9  10:39    173
 14   54.6   68.2  15:54   45.3  03:51   10.4    0.0   0.12    0.6   13.6  16:10    164
 15   54.4   60.1  16:23   50.7  04:29   10.6    0.0   0.78    0.2    5.8  20:51    129
 16   53.5   59.5  13:20   45.1  23:56   11.5    0.0   0.12    0.7    9.2  07:07    151
 17   50.7   60.8  16:44   40.1  03:33   14.3    0.0   0.00    0.5    8.1  16:01     60
 18   50.5   59.0  15:51   45.3  06:07   14.5    0.0   0.44    1.3   18.3  17:40    179
 19   49.1   59.2  16:36   41.9  23:48   15.9    0.0   0.00    0.9   10.3  00:16    191
 20   49.2   61.9  18:02   38.5  04:03   15.8    0.0   0.00    0.4    8.1  15:22    186
 21   53.6   68.0  17:24   39.2  05:43   11.4    0.0   0.00    0.8   12.5  14:30    203
 22   57.4   73.0  17:30   41.9  04:52    7.6    0.0   0.00    0.6    8.1  13:19    187
 23   57.9   66.6  16:15   52.3  05:18    7.1    0.0   0.00    0.6    9.2  18:18    194
 24   54.4   62.1  14:55   50.5  05:47   10.6    0.0   0.03    0.3    6.9  15:41    187
 25   59.1   71.1  16:38   50.9  04:10    5.9    0.0   0.04    0.6    9.2  11:29    196
 26   58.4   69.8  13:44   48.0  05:36    6.6    0.0   0.13    0.2    4.5  12:27    187
 27   54.7   63.0  13:50   48.0  23:04   10.3    0.0   0.33    0.7   11.4  12:10    183
 28   51.1   58.3  13:21   45.0  04:45   13.9    0.0   0.26    0.6   10.3  16:01    153
 29   51.5   58.1  18:39   48.4  07:25   13.5    0.0   0.38    0.7   10.3  10:49    183
 30   51.7   58.6  17:18   45.9  05:29   13.3    0.0   0.00    0.4    5.8  10:31    181
 31   57.4   71.1  16:31   44.6  02:35    7.6    0.0   0.00    0.8   10.3  17:41    182
---------------------------------------------------------------------------------------
      51.8   73.0     22   38.5     20  408.3    0.0   5.73    0.6   18.3     18    179
    
