                   MONTHLY CLIMATOLOGICAL SUMMARY for Jun 2022


NAME: Lea Hill, Auburn, WA                  
ELEV: 416 feet    LAT: 47-19.27 N    LONG: 122-11.06 W


                   TEMPERATURE (°F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   60.6   72.1  16:59   49.5  05:35    4.4    0.0   0.00    0.5    6.9  12:14    181
 02   62.9   74.5  17:38   50.5  05:26    2.1    0.0   0.01    0.5    5.8  11:05    187
 03   57.6   62.1  10:20   53.6  20:53    7.4    0.0   0.77    0.1    6.9  14:48    194
 04   59.5   69.6  13:56   52.7  05:27    5.5    0.0   0.39    0.4    8.1  13:11    182
 05   59.3   67.1  13:45   54.9  23:43    5.7    0.0   0.65    0.5   10.3  16:49    181
 06   56.0   64.8  13:59   48.0  05:54    9.0    0.0   0.00    0.3    6.9  16:23    185
 07   59.7   73.4  17:29   44.2  05:30    5.3    0.0   0.00    0.5    8.1  10:19    188
 08   61.6   70.2  16:35   55.8  05:05    3.4    0.0   0.00    0.6    8.1  12:20    185
 09   55.7   57.9  00:04   54.1  06:28    9.3    0.0   1.92    0.1    4.5  17:53    180
 10   59.8   67.1  14:57   55.2  23:19    5.2    0.0   0.23    0.2    6.9  15:09    183
 11   62.9   71.6  16:23   53.8  03:38    2.1    0.0   0.09    0.7    8.1  14:22    193
 12   53.1   55.2  17:29   50.5  23:45   11.9    0.0   0.06    0.5   10.3  22:13    186
 13   52.4   59.2  16:02   47.5  03:39   12.6    0.0   0.12    0.9   14.8  15:02    186
 14   54.7   62.6  13:09   47.3  06:55   10.3    0.0   0.01    0.4    6.9  02:42    185
 15   54.6   62.2  16:17   46.6  05:25   10.4    0.0   0.00    0.2    6.9  17:18    188
 16   57.3   68.7  16:36   46.4  04:17    7.7    0.0   0.04    0.4    6.9  15:09    189
 17   53.7   56.1  00:05   51.3  03:28   11.3    0.0   0.00    0.4    5.8  01:37    166
 18   57.7   63.1  16:48   53.6  23:51    7.3    0.0   0.00    0.5    6.9  11:34    189
 19   58.0   67.1  16:35   51.6  04:23    7.0    0.0   0.00    0.5    6.9  16:03    186
 20   58.5   68.5  17:11   52.2  05:15    6.5    0.0   0.00    0.4    6.9  13:42    193
 21   62.5   77.9  19:23   48.0  05:15    2.5    0.0   0.00    0.7   10.3  16:53    202
 22   61.2   70.0  17:03   56.1  03:32    3.8    0.0   0.04    0.3    5.8  15:01    188
 23   59.7   70.3  17:32   49.5  05:49    5.3    0.0   0.00    1.1   11.4  15:45    185
 24   62.2   77.7  17:19   44.2  05:28    2.8    0.0   0.00    1.0   10.3  12:45    159
 25   71.2   88.7  15:29   50.9  05:26    0.0    6.2   0.00    1.3   13.6  14:10    142
 26   74.6   90.9  16:02   55.0  05:31    0.0    9.6   0.00    1.0   11.4  12:52    192
 27   75.1   93.0  16:05   59.2  05:36    0.0   10.1   0.00    0.6    8.1  12:56    189
 28   59.5   66.9  13:05   54.7  03:36    5.5    0.0   0.00    0.4    9.2  11:36    174
 29   59.4   66.6  19:40   53.6  23:52    5.6    0.0   0.00    0.4    8.1  03:30    174
 30   61.7   75.0  17:52   48.4  05:10    3.3    0.0   0.00    0.8    9.2  15:16    183
---------------------------------------------------------------------------------------
      60.3   93.0     27   44.2     07  173.3   25.9   4.33    0.5   14.8     13    183
    
