                   MONTHLY CLIMATOLOGICAL SUMMARY for Jul 2022


NAME: Lea Hill, Auburn, WA                  
ELEV: 416 feet    LAT: 47-19.27 N    LONG: 122-11.06 W


                   TEMPERATURE (°F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   63.5   76.1  17:12   51.4  05:35    1.5    0.0   0.00    0.6    8.1  15:26    189
 02   60.4   66.6  15:14   54.9  03:40    4.6    0.0   0.00    0.3    5.8  13:43    176
 03   55.7   59.7  00:01   53.6  06:17    9.3    0.0   0.20    0.1    5.8  13:01    179
 04   59.4   70.0  18:08   50.4  02:34    5.6    0.0   0.00    0.5    8.1  11:39    182
 05   61.4   74.7  13:54   49.1  05:35    3.6    0.0   0.05    0.5    9.2  11:41    182
 06   64.0   73.6  16:13   59.4  04:50    1.0    0.0   0.06    0.2    5.8  12:21    178
 07   65.8   78.4  15:40   58.3  06:10    0.0    0.8   0.12    0.5    6.9  15:17    177
 08   65.8   77.0  17:26   56.7  04:37    0.0    0.8   0.00    0.5    9.2  15:57    179
 09   64.5   77.2  17:11   53.8  05:53    0.5    0.0   0.00    0.6   10.3  17:11    174
 10   64.6   75.4  16:33   54.9  05:15    0.4    0.0   0.00    0.5    8.1  16:47    189
 11   69.7   85.3  16:40   53.4  05:26    0.0    4.7   0.00    0.8    9.2  11:19    192
 12   70.1   84.7  15:21   56.7  05:44    0.0    5.1   0.00    0.7   10.3  16:15    181
 13   63.8   76.3  17:17   53.6  05:45    1.2    0.0   0.00    0.6    8.1  11:16    186
 14   64.9   79.7  18:55   51.1  05:53    0.1    0.0   0.00    0.6    8.1  11:44    177
 15   68.1   78.3  15:37   54.1  03:00    0.0    3.1   0.00    1.0    9.2  13:05    175
 16   64.6   70.3  15:17   60.3  23:59    0.4    0.0   0.00    0.4    6.9  17:37    169
 17   61.2   69.6  17:53   57.0  04:33    3.8    0.0   0.00    0.2    4.5  16:23    176
 18   61.9   72.9  17:55   53.6  05:58    3.1    0.0   0.01    0.6    9.2  19:29    165
 19   66.5   81.0  16:39   52.3  05:38    0.0    1.5   0.00    0.8    9.2  18:05    181
 20   69.9   85.5  18:22   55.4  05:54    0.0    4.9   0.00    0.5    8.1  14:17    186
 21   68.1   82.0  16:40   57.0  05:19    0.0    3.1   0.00    0.7    9.2  15:42    181
 22   63.4   73.0  18:09   57.2  03:03    1.6    0.0   0.00    0.6   10.3  16:17    185
 23   62.4   73.0  16:49   56.5  06:56    2.6    0.0   0.00    0.4    6.9  11:08    188
 24   67.8   83.1  16:43   53.6  05:38    0.0    2.8   0.00    0.7   10.3  16:05    178
 25   72.2   87.3  17:06   56.1  05:34    0.0    7.2   0.00    0.7    8.1  11:55    189
 26   76.9   94.5  17:02   61.0  05:19    0.0   11.9   0.00    0.5    5.8  10:49    184
 27   76.1   92.3  17:32   62.6  05:59    0.0   11.1   0.00    0.6    6.9  13:57    181
 28   76.3   92.8  17:28   62.1  05:52    0.0   11.3   0.00    0.7    8.1  13:55    189
 29   77.0   92.5  17:01   63.3  05:59    0.0   12.0   0.00    0.6    9.2  14:01    190
 30   78.2   94.1  17:02   63.9  05:51    0.0   13.2   0.00    0.6    9.2  13:05    191
 31   77.2   94.3  18:15   61.5  05:40    0.0   12.2   0.00    0.5    8.1  14:36    185
---------------------------------------------------------------------------------------
      67.1   94.5     26   49.1     05   39.3  105.7   0.44    0.6   10.3     09    183
    
