                   MONTHLY CLIMATOLOGICAL SUMMARY for Sep 2022


NAME: Lea Hill, Auburn, WA                  
ELEV: 416 feet    LAT: 47-19.27 N    LONG: 122-11.06 W


                   TEMPERATURE (°F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   65.2   80.1  17:21   56.8  04:12    0.0    0.2   0.00    0.3    4.5  07:38    188
 02   66.3   82.4  15:49   54.9  05:44    0.0    1.3   0.00    0.4    8.1  21:05    182
 03   62.8   74.5  17:24   56.5  02:11    2.2    0.0   0.02    0.2    5.8  18:03    177
 04   64.1   76.1  14:01   53.6  04:25    0.9    0.0   0.00    0.4    6.9  12:32    172
 05   63.3   74.1  15:26   52.7  06:03    1.7    0.0   0.00    0.8   12.5  11:16    151
 06   62.7   79.2  16:46   47.3  06:30    2.3    0.0   0.00    0.5    8.1  13:08    185
 07   63.9   77.9  16:00   53.2  05:49    1.1    0.0   0.00    0.7   10.3  10:55    170
 08   60.0   73.9  15:36   46.0  06:45    5.0    0.0   0.00    0.8   11.4  15:49    153
 09   63.0   78.3  16:04   46.9  06:24    2.0    0.0   0.00    1.2   13.6  14:31    133
 10   71.7   90.1  15:03   53.2  07:08    0.0    6.7   0.00    0.6    6.9  02:49    180
 11   65.9   72.0  15:14   60.3  03:57    0.0    0.9   0.00    0.2    5.8  05:48    178
 12   65.0   72.7  14:45   58.5  07:17    0.0    0.0   0.00    0.4    6.9  15:15    182
 13   63.8   69.1  15:23   59.7  23:57    1.2    0.0   0.00    0.3    5.8  11:11    174
 14   62.6   69.1  18:14   58.3  06:35    2.4    0.0   0.00    0.2    4.5  14:12    176
 15   61.9   71.6  16:05   56.1  05:07    3.1    0.0   0.00    0.4    6.9  12:49    180
 16   58.3   69.1  15:35   52.2  23:46    6.7    0.0   0.00    0.3    6.9  16:37    173
 17   56.2   67.3  15:09   46.2  07:02    8.8    0.0   0.00    0.8   10.3  16:05    141
 18   60.3   73.9  16:09   49.5  07:08    4.7    0.0   0.02    0.7    9.2  09:35    157
 19   59.9   77.2  16:17   46.2  07:16    5.1    0.0   0.00    0.5    9.2  14:44    186
 20   61.0   78.4  15:18   45.5  07:00    4.0    0.0   0.00    0.7   10.3  13:31    167
 21   60.0   77.4  16:11   43.3  07:10    5.0    0.0   0.00    0.4    6.9  14:51    187
 22   59.2   72.5  15:48   50.7  07:28    5.8    0.0   0.00    0.4    9.2  13:10    176
 23   61.0   70.2  15:02   54.7  23:56    4.0    0.0   0.00    0.2    5.8  13:04    175
 24   59.7   74.7  15:54   47.7  06:58    5.3    0.0   0.00    0.6    8.1  12:45    176
 25   61.1   78.6  16:00   47.7  06:47    3.9    0.0   0.00    0.4    8.1  13:31    188
 26   64.1   82.9  15:43   50.7  07:19    0.9    0.0   0.00    0.2    4.5  14:22    184
 27   62.6   80.8  15:39   50.0  07:00    2.4    0.0   0.00    0.3    5.8  12:47    181
 28   57.6   65.1  14:29   51.4  03:26    7.4    0.0   0.00    0.2    4.5  13:37    174
 29   59.9   70.5  15:31   52.7  23:53    5.1    0.0   0.00    0.4    8.1  12:28    171
 30   56.6   69.6  16:26   46.6  06:38    8.4    0.0   0.00    0.5    9.2  14:19    179
---------------------------------------------------------------------------------------
      62.0   90.1     10   43.3     21   99.2    9.1   0.04    0.5   13.6     09    169
    
