                   MONTHLY CLIMATOLOGICAL SUMMARY for Oct 2022


NAME: Lea Hill, Auburn, WA                  
ELEV: 416 feet    LAT: 47-19.27 N    LONG: 122-11.06 W


                   TEMPERATURE (°F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   61.0   78.1  15:46   48.0  06:51    4.0    0.0   0.00    0.4    9.2  13:44    187
 02   62.1   79.7  15:42   48.4  07:21    2.9    0.0   0.00    0.3    5.8  14:10    189
 03   61.7   77.7  16:03   49.6  07:30    3.3    0.0   0.00    0.3    5.8  14:03    188
 04   56.6   66.4  16:06   53.8  03:18    8.4    0.0   0.00    0.1    3.4  03:32    183
 05   56.1   61.0  16:51   50.5  23:47    8.9    0.0   0.01    0.1    3.4  04:24    173
 06   58.6   72.7  15:25   50.2  00:20    6.4    0.0   0.00    0.2    4.5  13:31    190
 07   60.9   76.8  15:44   50.0  07:23    4.1    0.0   0.00    0.2    4.5  12:22    187
 08   59.7   75.6  16:05   48.9  06:58    5.3    0.0   0.00    0.3    5.8  13:12    190
 09   58.4   73.6  15:09   47.5  07:19    6.6    0.0   0.00    0.3    6.9  13:01    191
 10   55.7   70.2  13:01   47.3  07:04    9.3    0.0   0.02    0.2    5.8  19:38    176
 11   54.3   68.0  16:40   44.2  07:41   10.7    0.0   0.00    0.3    5.8  10:40    181
 12   53.8   69.1  15:07   42.1  07:26   11.2    0.0   0.00    0.4    6.9  11:43    185
 13   55.3   74.8  16:13   42.3  06:52    9.7    0.0   0.00    0.2    4.5  12:48    192
 14   55.5   72.3  15:09   43.7  07:17    9.5    0.0   0.00    0.2    5.8  14:23    191
 15   57.3   74.8  16:15   44.2  07:30    7.7    0.0   0.00    0.3    5.8  12:56    190
 16   62.3   87.8  15:39   48.6  07:14    2.7    0.0   0.00    0.3    5.8  18:27    187
 17   55.4   68.2  15:06   47.3  06:24    9.6    0.0   0.00    0.1    4.5  12:58    185
 18   53.4   69.1  14:54   43.5  07:48   11.6    0.0   0.00    0.2    4.5  12:28    184
 19   51.8   65.3  16:38   42.6  07:46   13.2    0.0   0.00    0.2    5.8  12:55    188
 20   52.6   62.2  15:30   44.2  07:41   12.4    0.0   0.05    0.1    5.8  23:28    179
 21   48.9   52.3  11:08   45.1  23:46   16.1    0.0   0.44    0.3    9.2  09:51    180
 22   44.8   48.9  14:32   39.9  23:31   20.2    0.0   0.42    0.0    3.4  05:36    169
 23   46.0   54.9  15:35   40.5  00:05   19.0    0.0   0.03    0.1    4.5  12:36    176
 24   49.1   57.2  14:49   43.9  07:56   15.9    0.0   0.15    0.5   11.4  14:49    179
 25   47.4   52.3  11:59   43.0  22:27   17.6    0.0   0.51    0.4   12.5  18:20    177
 26   47.3   52.7  14:46   43.2  02:29   17.7    0.0   0.02    0.3    9.2  15:14    182
 27   55.0   60.8  14:45   49.5  00:56   10.0    0.0   0.00    0.8   12.5  15:08    180
 28   51.1   58.6  02:41   43.7  22:59   13.9    0.0   0.20    0.2   10.3  02:48    181
 29   48.5   58.5  14:58   41.2  08:20   16.5    0.0   0.01    0.1    5.8  13:19    185
 30   52.5   56.3  15:02   48.2  00:00   12.5    0.0   0.37    0.4   10.3  14:40    178
 31   50.4   53.6  00:23   45.3  23:51   14.6    0.0   0.89    0.4   12.5  11:28    179
---------------------------------------------------------------------------------------
      54.3   87.8     16   39.9     22  331.7    0.0   3.12    0.3   12.5     25    184
    
