                   MONTHLY CLIMATOLOGICAL SUMMARY for Nov 2022


NAME: Lea Hill, Auburn, WA                  
ELEV: 416 feet    LAT: 47-19.27 N    LONG: 122-11.06 W


                   TEMPERATURE (°F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   42.9   47.8  13:07   39.0  20:05   22.1    0.0   0.13    0.0    4.5  10:45    183
 02   39.0   46.6  13:21   32.4  23:58   26.0    0.0   0.13    0.1    4.5  13:29    183
 03   38.7   43.0  12:18   31.6  00:33   26.3    0.0   0.29    0.0    4.5  19:34    177
 04   51.8   56.8  19:39   40.3  00:05   13.2    0.0   0.76    1.8   18.3  17:08    183
 05   44.5   51.1  00:00   39.6  06:39   20.5    0.0   0.00    0.8   18.3  11:24    183
 06   40.6   43.3  13:54   37.4  22:49   24.4    0.0   1.07    0.3   10.3  09:02    178
 07   39.0   44.2  13:32   34.9  05:37   26.0    0.0   0.16    0.1    3.4  09:35    180
 08   38.1   43.9  12:52   34.2  07:05   26.9    0.0   0.00    1.8   13.6  14:54    153
 09   35.5   46.6  14:00   27.7  07:29   29.5    0.0   0.00    0.2    8.1  00:01    180
 10   38.2   46.0  13:34   30.7  23:17   26.8    0.0   0.00    0.1    3.4  11:56    186
 11   39.9   48.7  12:01   30.7  00:51   25.1    0.0   0.00    0.1    6.9  15:16    161
 12   36.7   50.4  13:43   28.9  06:12   28.3    0.0   0.00    0.1    4.5  11:17    191
 13   37.3   49.8  13:42   29.1  01:29   27.7    0.0   0.00    0.2    5.8  13:14    179
 14   39.3   53.1  13:51   27.0  07:15   25.7    0.0   0.00    0.4    8.1  19:00    165
 15   37.4   54.3  13:58   28.6  05:40   27.6    0.0   0.01    0.1    4.5  12:12    194
 16   33.2   50.0  13:15   25.5  07:12   31.8    0.0   0.01    0.1    4.5  12:45    196
 17   40.0   49.6  13:53   26.8  03:12   25.0    0.0   0.00    1.6   13.6  09:53    136
 18   37.1   51.4  13:16   25.9  06:58   27.9    0.0   0.00    0.2    4.5  02:25    174
 19   33.3   49.5  13:50   23.2  07:30   31.7    0.0   0.00    0.2    5.8  12:03    191
 20   38.2   52.5  13:48   27.3  01:54   26.8    0.0   0.00    0.1    2.2  09:42    188
 21   41.2   48.4  15:19   32.0  07:30   23.8    0.0   0.00    0.0    3.4  16:02    178
 22   45.0   49.1  14:34   40.1  00:00   20.0    0.0   1.20    0.4   11.4  14:32    176
 23   46.1   54.7  12:32   37.4  23:29   18.9    0.0   0.00    0.1    8.1  01:21    181
 24   41.5   53.6  13:31   31.3  07:37   23.5    0.0   0.00    0.1    3.4  00:43    185
 25   40.1   46.0  06:59   32.0  23:47   24.9    0.0   1.20    0.3   11.4  11:49    164
 26   39.9   46.2  20:25   30.7  01:16   25.1    0.0   0.02    0.7   14.8  23:26    180
 27   41.6   45.1  00:00   38.3  08:56   23.4    0.0   0.10    1.1   13.6  01:43    183
 28   35.1   38.8  00:01   29.8  21:41   29.9    0.0   0.18    0.1    6.9  00:04    186
 29   33.0   41.9  21:22   30.0  04:15   32.0    0.0   0.61    0.4    9.2  18:56    176
 30   35.9   41.2  11:50   29.1  22:31   29.1    0.0   0.64    0.5    9.2  02:17    179
---------------------------------------------------------------------------------------
      39.4   56.8     04   23.2     19  770.1    0.0   6.50    0.4   18.3     04    171
    
