                   MONTHLY CLIMATOLOGICAL SUMMARY for Mar 2023


NAME: Lea Hill, Auburn, WA                  
ELEV: 416 feet    LAT: 47-19.27 N    LONG: 122-11.06 W


                   TEMPERATURE (°F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   36.0   46.4  14:23   25.2  02:53   29.0    0.0   0.01    0.6    8.1  12:41    174
 02   40.4   48.4  14:01   35.2  02:32   24.6    0.0   0.09    1.6   17.2  08:50    173
 03   37.2   41.0  11:28   34.9  20:54   27.8    0.0   0.29    1.0   14.8  04:31    172
 04   38.5   44.1  12:19   31.5  23:42   26.5    0.0   0.13    0.2    6.9  11:02    122
 05   36.3   48.4  13:53   27.0  06:16   28.7    0.0   0.33    0.4   10.3  12:57    326
 06   38.7   49.8  13:20   29.7  04:53   26.3    0.0   0.01    0.3    8.1  14:12    155
 07   39.1   51.8  13:58   31.6  23:58   25.9    0.0   0.22    0.4    9.2  13:32    330
 08   35.4   43.3  11:21   30.0  02:02   29.6    0.0   0.05    0.3    5.8  12:38    109
 09   39.7   48.0  13:54   30.0  03:02   25.3    0.0   0.01    0.8   11.4  12:26     99
 10   43.2   50.9  13:34   39.2  06:20   21.8    0.0   0.09    0.8   19.5  01:51    151
 11   42.3   54.5  15:21   33.4  23:43   22.7    0.0   0.01    0.4    6.9  00:43    185
 12   39.1   47.7  15:47   29.5  06:08   25.9    0.0   0.15    0.1    5.8  10:27    103
 13   41.6   48.0  02:31   36.5  23:00   23.4    0.0   0.70    0.4    9.2  04:34    124
 14   42.0   52.9  15:22   30.4  06:57   23.0    0.0   0.01    0.5    8.1  17:21    327
 15   42.2   51.8  16:41   36.5  21:55   22.8    0.0   0.00    0.4    8.1  03:31    190
 16   42.7   57.0  17:21   28.0  07:32   22.3    0.0   0.00    0.8   11.4  17:48    357
 17   47.7   63.1  15:58   32.0  06:33   17.3    0.0   0.00    0.4    6.9  13:37    344
 18   50.4   64.9  15:35   35.6  07:24   14.6    0.0   0.00    0.5    8.1  13:57    337
 19   49.2   60.3  13:37   40.5  06:57   15.8    0.0   0.00    0.3    6.9  13:15    334
 20   48.3   55.6  16:25   45.1  05:47   16.7    0.0   0.28    0.3   10.3  16:00    155
 21   47.4   57.0  16:07   39.0  07:21   17.6    0.0   0.00    0.9   10.3  15:35    359
 22   47.5   61.9  15:43   32.7  07:30   17.5    0.0   0.00    0.5   10.3  23:28    342
 23   43.7   51.1  13:16   37.8  21:12   21.3    0.0   0.01    1.2   18.3  17:53    167
 24   40.3   46.8  12:44   36.3  04:32   24.7    0.0   0.04    1.3   13.6  11:48    175
 25   40.1   50.0  17:06   35.1  04:03   24.9    0.0   0.00    0.5    9.2  14:53    234
 26   39.1   47.8  16:04   32.9  23:55   25.9    0.0   0.15    0.3    5.8  12:02    109
 27   42.8   57.4  15:54   29.3  05:42   22.2    0.0   0.44    1.1   13.6  20:32     93
 28   51.8   55.2  14:32   47.8  05:54   13.2    0.0   0.00    2.0   20.6  13:02    104
 29   49.3   61.5  16:20   39.0  05:58   15.7    0.0   0.00    0.6    9.2  10:13    355
 30   46.8   54.7  15:36   42.6  05:39   18.2    0.0   0.00    0.9   14.8  17:11    135
 31   44.3   48.9  12:00   41.9  21:51   20.7    0.0   0.18    0.8   12.5  11:31    140
---------------------------------------------------------------------------------------
      42.7   64.9     18   25.2     01  692.1    0.0   3.21    0.7   20.6     28    132
    
