                   MONTHLY CLIMATOLOGICAL SUMMARY for Apr 2023


NAME: Lea Hill, Auburn, WA                  
ELEV: 416 feet    LAT: 47-19.27 N    LONG: 122-11.06 W


                   TEMPERATURE (°F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   40.7   45.9  14:25   37.4  23:55   24.3    0.0   0.05    1.1   12.5  11:24    146
 02   38.1   44.8  12:46   34.5  09:23   26.9    0.0   0.37    0.5    9.2  13:01    132
 03   38.6   47.5  14:48   32.5  05:00   26.4    0.0   0.24    0.4    9.2  14:57     67
 04   41.5   51.8  16:18   34.2  05:03   23.5    0.0   0.00    0.5    9.2  14:03     20
 05   44.5   55.0  15:00   35.4  02:10   20.5    0.0   0.00    0.6    8.1  16:57     96
 06   47.1   52.7  12:46   41.4  06:27   17.9    0.0   0.29    0.2    5.8  10:12    103
 07   48.5   55.0  14:44   43.7  23:22   16.5    0.0   0.22    0.2    8.1  18:13     88
 08   45.9   51.3  12:26   41.9  04:38   19.1    0.0   0.28    0.2    9.2  12:47    107
 09   49.2   54.7  17:14   45.3  23:50   15.8    0.0   0.53    0.3    8.1  15:48    107
 10   43.8   45.7  13:48   40.5  23:22   21.2    0.0   0.81    0.2    4.5  09:25     48
 11   42.9   51.3  16:28   38.1  08:37   22.1    0.0   0.17    0.8   11.4  08:13    127
 12   43.5   53.2  16:01   35.6  04:28   21.5    0.0   0.00    0.8   13.6  13:41      3
 13   44.2   52.9  15:53   37.6  01:55   20.8    0.0   0.00    0.5    9.2  17:31     86
 14   45.4   57.2  17:21   32.7  06:39   19.6    0.0   0.00    0.5    8.1  14:41     21
 15   45.6   53.1  12:43   37.0  06:08   19.4    0.0   0.01    0.3    6.9  13:33     29
 16   44.6   51.1  15:41   37.9  22:29   20.4    0.0   0.35    0.5   11.4  16:31    122
 17   43.1   51.4  17:34   34.2  04:19   21.9    0.0   0.00    0.5   11.4  15:47    115
 18   41.7   48.4  14:20   36.0  23:54   23.3    0.0   0.05    1.1   11.4  10:09    135
 19   42.9   52.2  11:37   36.3  00:00   22.1    0.0   0.02    0.7   10.3  13:19    133
 20   41.4   47.7  12:28   34.5  05:16   23.6    0.0   0.26    0.4   10.3  12:03    112
 21   46.3   50.9  14:01   41.4  00:00   18.7    0.0   0.02    0.4    8.1  04:26    127
 22   52.6   64.6  15:32   43.9  01:45   12.4    0.0   0.15    0.3    6.9  16:06     55
 23   50.0   53.6  14:58   45.0  23:58   15.0    0.0   0.33    0.5   11.4  13:26    128
 24   49.3   58.1  17:01   44.1  02:37   15.7    0.0   0.06    0.5    8.1  18:00     58
 25   50.5   60.6  16:51   44.4  06:28   14.5    0.0   0.00    0.6    9.2  14:56      5
 26   58.5   68.0  16:31   42.1  02:59    6.5    0.0   0.00    0.9   10.3  21:14      9
 27   57.9   69.6  15:52   50.0  06:39    7.1    0.0   0.00    1.1   11.4  17:44      8
 28   61.9   81.7  16:06   43.7  06:17    3.1    0.0   0.00    0.7   10.3  15:18    357
 29   64.3   79.5  16:38   50.9  05:51    0.7    0.0   0.00    0.5    8.1  13:45     37
 30   53.7   61.2  14:37   46.6  05:21   11.3    0.0   0.00    0.1    6.9  12:44     53
---------------------------------------------------------------------------------------
      47.2   81.7     28   32.5     03  532.0    0.0   4.21    0.5   13.6     12     83
    
