MONTHLY CLIMATOLOGICAL SUMMARY for May 2023


NAME: Lea Hill, Auburn, WA                  
ELEV: 416 feet    LAT: 47-19.27 N    LONG: 122-11.06 W


                   TEMPERATURE (°F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   50.8   54.7  11:36   45.9  06:02   14.2    0.0   0.03    0.3    8.1  12:38     18
 02   58.2   71.8  17:28   48.7  03:50    6.8    0.0   0.03    0.7   15.9  02:15     19
 03   60.6   74.5  15:43   49.8  06:24    4.4    0.0   0.00    0.5    8.1  16:14     26
 04   51.7   57.2  12:08   47.7  23:22   13.3    0.0   0.05    0.2    8.1  15:05    125
 05   48.4   51.3  15:06   46.8  04:37   16.6    0.0   0.74    0.1    5.8  11:18    122
 06   51.6   59.9  17:43   46.9  05:58   13.4    0.0   0.13    0.1    4.5  11:19     88
 07   52.8   62.4  16:56   47.5  01:53   12.2    0.0   0.04    0.2    5.8  18:05     66
 08   55.5   66.6  16:01   48.0  04:18    9.5    0.0   0.06    0.9   10.3  13:03      8
 09   55.2   65.5  15:20   47.7  05:47    9.8    0.0   0.00    0.3    8.1  14:35     25
 10   56.8   72.5  17:00   41.2  05:50    8.2    0.0   0.00    0.5    9.2  14:46     17
 11   59.9   75.9  17:45   45.7  04:40    5.1    0.0   0.00    0.6    9.2  14:35     20
 12   64.7   82.4  17:45   47.1  05:15    0.3    0.0   0.00    0.7   13.6  15:11     14
 13   69.8   88.0  16:20   49.8  05:48    0.0    4.8   0.00    1.1   14.8  17:25     16
 14   77.1   91.2  16:23   55.2  05:41    0.0   12.1   0.00    0.7   13.6  15:14     95
 15   73.6   89.8  17:24   59.9  06:07    0.0    8.6   0.00    0.4    9.2  20:00     48
 16   66.2   78.4  18:01   57.9  06:12    0.0    1.2   0.00    0.5    8.1  16:36     33
 17   66.4   79.5  15:21   53.2  05:04    0.0    1.4   0.00    0.5    8.1  15:06     25
 18   66.7   79.5  15:57   57.0  05:42    0.0    1.7   0.00    0.5    8.1  12:04     39
 19   62.8   76.3  16:44   51.8  04:49    2.2    0.0   0.00    0.5    9.2  15:22     27
 20   64.9   77.4  16:20   53.8  05:50    0.1    0.0   0.03    0.5   11.4  13:35     35
 21   55.9   59.4  17:51   52.5  23:56    9.1    0.0   0.00    0.2    6.9  06:47    124
 22   55.0   65.1  17:41   48.7  03:47   10.0    0.0   0.01    0.4    9.2  13:27    134
 23   55.0   65.5  15:21   46.2  03:40   10.0    0.0   0.00    0.3    6.9  15:17     53
 24   59.2   70.0  16:17   50.4  05:43    5.8    0.0   0.00    0.6    9.2  11:20     27
 25   62.6   77.5  17:18   47.7  05:55    2.4    0.0   0.00    0.7   11.4  14:19     24
 26   67.0   82.2  16:27   52.2  04:39    0.0    2.0   0.00    0.6    8.1  14:00     34
 27   59.6   71.6  17:34   51.3  23:51    5.4    0.0   0.00    0.3    8.1  15:21     57
 28   54.4   65.8  18:14   45.7  04:11   10.6    0.0   0.00    0.2    8.1  17:23     54
 29   55.4   69.8  18:00   44.8  05:47    9.6    0.0   0.00    0.2    6.9  16:27     73
 30   54.3   64.6  17:27   45.3  04:43   10.7    0.0   0.00    0.6    9.2  13:21     50
 31   54.8   65.1  15:47   48.4  05:29   10.2    0.0   0.00    0.4    8.1  15:57     50
---------------------------------------------------------------------------------------
      59.6   91.2     14   41.2     10  199.8   31.9   1.11    0.5   15.9     02     36
